Date,Symbol,Company Name,DealId,Employees,Total Offering Expense,Shareholder Shares Offered,Shares Outstanding,Lockup Period (days),Quiet Period (days),CIK,Exchange,Exchange Group,Price,Shares,filing,price offer,close price
5/15/24,JDZG,JIADE Ltd,1280809-108659,22,"$1,538,819.00 ",--,"24,435,471",180,40,1976908,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,4.07
6/21/24,RECT,Rectitude Holdings Ltd.,1282948-108811,98,"$1,597,989.00 ",--,"14,500,000",180,40,1995116,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,3.9
7/19/24,QMMM,QMMM Holdings Ltd,1272936-107894,28,"$1,876,045.00 ",--,"17,150,000",180,40,1971542,NASDAQ Capital,NASDAQ,4,"2,150,000",F1,4,4.07
7/12/24,ICON,Icon Energy Corp,1296231-110142,0,"$1,245,000.00 ",--,"1,450,000",180,40,1995574,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,3.7
7/2/24,EHGO,EShallGo Inc.,1256119-106327,157,"$1,128,033.00 ",--,"15,879,000",180,41,1879754,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,3.26
8/28/24,AZI,Autozi Internet Technology (Global) Ltd.,1263592-110970,83,"$2,776,437.00 ",--,"70,386,100",180,40,1959726,NASDAQ Global,NASDAQ,4,"2,500,000",F1,4,2.62
8/23/24,WOK,WORK Medical Technology Group LTD,1256112-106324,226,"$1,960,143.04 ",--,"14,500,000",180,40,1929783,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,3.6
8/23/24,RITR,Reitar Logtech Holdings Ltd,1291098-109574,52,"$1,832,012.00 ",--,"42,125,000",180,40,1951229,NASDAQ Capital,NASDAQ,4,"2,125,000",F1,4,4.15
9/26/24,IBG,Innovation Beverage Group Ltd,1228482-103970,10,"$282,963.00 ",--,"8,340,655",180,40,1924482,NASDAQ Capital,NASDAQ,4,"1,350,000",F1,4,2.92
9/20/24,GLE,Global Engine Group Holding Ltd,1228222-103944,3,"$1,491,122.00 ",--,"18,000,000",180,40,1908705,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,4.18
9/12/24,GLXG,Galaxy Payroll Group Ltd,1242589-105218,26,"$1,480,324.00 ",--,"17,750,000",180,40,1905920,NASDAQ Capital,NASDAQ,4,"1,750,000",F1,4,4.45
9/5/24,PTHL,Pheton Holdings Ltd,1273482-107924,11,"$1,200,000.00 ",--,"6,582,000",180,40,1970544,NASDAQ Capital,NASDAQ,4,"2,250,000",F1,4,3.78
9/5/24,PMAX,Powell Max Ltd,1298078-110311,52,"$1,269,906.00 ",--,"12,524,606",180,40,2012096,NASDAQ Capital,NASDAQ,4,"1,426,750",F1,4,4
10/29/24,GELS,Gelteq Ltd,1229727-110778,8,"$450,000.00 ",--,"9,438,075",180,41,1920092,NASDAQ Capital,NASDAQ,4,"1,300,000",F1,4,2.94
10/23/24,LBGJ,Li Bang International Corp Inc.,1198457-101938,141,"$807,004.00 ",--,"18,520,000",180,40,1896425,NASDAQ Capital,NASDAQ,4,"1,520,000",F1,4,4.1
10/22/24,HUHU,HUHUTECH International Group Inc.,1252855-106032,74,"$2,000,000.00 ",--,"21,050,000",180,41,1945415,NASDAQ Capital,NASDAQ,4,"1,050,000",F1,4,0
10/17/24,SPHL,SPRINGVIEW HOLDINGS LTD,1292102-109692,72,"$1,050,000.00 ",--,"11,500,000",180,40,2002236,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,4.25
10/17/24,ORIS,ORIENTAL RISE HOLDINGS Ltd,1273751-107941,70,"$597,153.16 ",--,"21,750,000",180,40,1964664,NASDAQ Capital,NASDAQ,4,"1,750,000",F1,4,6
10/16/24,PTLE,PTL Ltd,1303940-110915,7,"$1,358,189.00 ",--,"12,500,000",180,40,2016337,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,4.07
10/15/24,SFHG,SAMFINE CREATION HOLDINGS GROUP Ltd,1276544-108260,221,"$1,546,151.00 ",--,"20,000,000",180,41,1926792,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,5.3
10/11/24,STFS,Star Fashion Culture Holdings Ltd,1299399-110482,22,"$1,536,594.00 ",--,"10,850,000",180,40,2003061,NASDAQ Capital,NASDAQ,4,"2,150,000",F1,4,3.26
10/9/24,CLIK,Click Holdings Ltd.,1300634-110616,14,"$1,189,860.00 ",--,"14,900,000",180,40,2020027,NASDAQ Capital,NASDAQ,4,"1,400,000",F1,4,2.64
10/8/24,SKK,SKK Holdings Ltd,1284427-108936,136,"$1,213,506.00 ","750,000","15,625,000",180,41,1991261,NASDAQ Capital,NASDAQ,4,"2,500,000",F1,4,6.05
10/2/24,WCT,Wellchange Holdings Co Ltd,1285760-109052,6,"$1,397,412.00 ","900,000","21,100,000",180,40,1990251,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,0
10/1/24,HTLM,HomesToLife Ltd,1306354-111197,30,"$1,450,000.00 ",--,"14,500,000",180,41,2023153,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,4.02
11/27/24,BRIA,BrilliA Inc,1308299-111429,194,"$1,800,000.00 ",--,"25,000,000",180,40,2000230,NYSE MKT,NYSE,4,"2,500,000",F1,4,4
11/26/24,CGTL,Creative Global Technology Holdings Ltd,1264976-107138,17,"$1,385,778.00 ",--,"21,250,000",180,41,1967822,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,3.91
11/26/24,WYHG,Wing Yip Food Holdings Group Ltd,1288663-109351,491,"$1,915,040.00 ",--,"2,050,000",180,41,1999860,NASDAQ Capital,NASDAQ,4,"2,050,000",F1,4,4.24
12/31/24,ONEG,OneConstruction Group Ltd,1314594-112019,14,"$1,081,606.00 ",--,"13,000,000",180,41,2030834,NASDAQ Capital,NASDAQ,4,"1,750,000",F1,4,3
12/27/24,PHH,"Park Ha Biological Technology Co., Ltd.",1306697-111228,33,"$1,466,594.00 ",--,"26,200,000",180,40,1986247,NASDAQ Capital,NASDAQ,4,"1,200,000",F1,4,4.07
12/18/24,YSXT,"YSX Tech Co., Ltd",1299805-110530,40,"$1,333,591.00 ",--,"22,072,675",180,40,1993463,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,4.31
12/18/24,NCEW,New Century Logistics (BVI) Ltd,1268527-107487,36,"$3,367,744.00 ",--,"21,500,000",180,40,1968043,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,2.54
12/6/24,NAMI,Jinxin Technology Holding Co,1267441-107376,93,"$3,159,222.00 ",--,"1,250,000",180,40,1967631,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,4.44
12/5/24,LNKS,Linkers Industries Ltd,1279042-110264,209,"$1,495,825.00 ",--,"10,650,000",180,40,1972074,NASDAQ Capital,NASDAQ,4,"1,900,000",F1,4,0
7/12/06,ROMA,ROMA FINANCIAL CORP,702270-48980,146,--,--,"32,731,875",180,26,1355823,NASDAQ National Market,NASDAQ,10,"9,819,562",S1,4,2.9
6/26/14,SERV,TERMINIX GLOBAL HOLDINGS INC,772415-74968,13000,"$6,000,000.00 ",--,"127,745,104",180,40,1428875,NYSE,NYSE,17,"35,900,000",S1,4,3.11
2/27/24,SMXT,"SolarMax Technology, Inc.",854500-103622,130,"$1,010,000.00 ",--,"44,500,186",180,41,1519472,NASDAQ Global,NASDAQ,4,"4,500,000",S1,4,8
12/3/24,JUNS,"JUPITER NEUROSCIENCES, INC.",999173-100696,4,"$715,000.00 ",--,"32,876,413",180,41,1679628,NASDAQ Capital,NASDAQ,4,"2,750,000",S1,4,5.49
11/22/24,CASK,"Heritage Distilling Holding Company, Inc.",1095941-110139,93,"$1,575,000.00 ",--,"4,890,905",180,40,1788230,NASDAQ Capital,NASDAQ,4,"1,687,500",S1,4,3.4
8/1/24,OSTX,OS THERAPIES Inc,1102849-110305,5,"$382,000.00 ",--,"20,049,655",180,40,1795091,NYSE MKT,NYSE,4,"1,600,000",S1,4,2.51
4/18/24,SERV,Serve Robotics Inc. /DE/,1140127-109398,69,"$1,279,880.00 ",--,"36,940,918",180,40,1832483,NASDAQ Capital,NASDAQ,4,"10,000,000",S1,4,3.11
5/8/24,NNE,Nano Nuclear Energy Inc.,1213342-109498,0,"$525,000.00 ",--,"28,569,513",180,40,1923891,NASDAQ Capital,NASDAQ,4,"2,562,500",S1,4,5.19
4/26/24,ZONE,"CleanCore Solutions, Inc.",1240743-107917,7,"$560,000.00 ",--,"6,813,419",180,40,1956741,NYSE MKT,NYSE,4,"1,250,000",S1,4,3.5
2/14/24,UMAC,"Unusual Machines, Inc.",1249214-105892,3,"$900,000.00 ",--,"8,717,255",180,40,1956955,NYSE MKT,NYSE,4,"1,250,000",S1,4,3.03
9/16/24,KAPA,"Kairos Pharma, LTD.",1255989-107846,3,"$700,000.00 ",--,"12,841,937",180,42,1962011,NYSE MKT,NYSE,4,"1,550,000",S1,4,2.6
6/6/24,FLYE,"Fly-E Group, Inc.",1285008-108988,84,"$925,890.00 ",--,"24,250,000",180,40,1975940,NASDAQ Capital,NASDAQ,4,"2,250,000",S1,4,4.78
12/23/24,HIT,"Health In Tech, Inc.",1307121-111264,79,"$2,390,278.00 ",--,"42,369,358",180,42,2019505,NASDAQ Capital,NASDAQ,4,"2,300,000",S1,4,0
9/21/17,PETZ,"TDH Holdings, Inc.",1030372-84465,220,"$801,250.96 ",--,"9,225,000",180,40,1684425,NASDAQ Capital,NASDAQ,4.25,"1,325,000",F1,4.25,6.41
11/7/24,ADUR,ADURO CLEAN TECHNOLOGIES INC.,1160777-110846,25,"$532,500.00 ",--,"28,166,906",180,40,1863934,NASDAQ Capital,NASDAQ,4.25,"941,177",F1,4.25,4.25
7/24/24,BLMZ,Bloomz Inc.,1275264-108086,7,"$1,476,250.00 ",--,"12,435,000",180,40,1984014,NASDAQ Capital,NASDAQ,4.3,"1,250,000",F1,4.3,2.45
11/21/01,MDCVU,UNIVERSAL MEDIA GROUP INC,90256-14802,37,"$320,000.00 ",--,"7,843,834",180,26,1144284,NASDAQ SmallCap Market,NASDAQ,4.5,"1,500,000",0,4.5,4
5/16/03,RED,REDLINE PERFORMANCE PRODUCTS INC,110479-32400,10,"$650,000.00 ",--,"4,582,020",180,25,1121131,American Stock Exchange,NYSE,4.5,"2,222,224",0,4.5,4.5
12/21/10,OSN,Ossen Innovation Co. Ltd.,824462-64847,238,"$1,342,175.80 ",--,"20,000,000",180,41,1485538,NASDAQ National Market,NASDAQ,4.5,"5,000,000",F1,4.5,4.25
1/29/10,CELM,"CHINA ELECTRIC MOTOR, INC.",767729-62318,920,"$800,000.00 ",--,"19,367,873",180,40,1421526,NASDAQ National Market,NASDAQ,4.5,"5,000,000",S1,4.5,4.45
7/8/16,MSDI,"9 METERS BIOPHARMA, INC.",884171-79786,20,"$1,300,000.00 ",--,"7,339,050",180,40,1551986,NASDAQ SmallCap Market,NASDAQ,4.5,"2,025,000",S1,4.5,3.68
4/22/24,MFI,mF International Ltd,1268749-107507,31,"$1,256,000.00 ",--,"13,251,667",180,42,1940941,NASDAQ Capital,NASDAQ,4.5,"1,666,667",F1,4.5,12.29
12/20/24,YAAS,Youxin Technology Ltd,1270091-107645,41,"$980,000.00 ",--,"24,604,693",180,40,1964946,NASDAQ Capital,NASDAQ,4.5,"2,300,000",F1,4.5,3.95
4/2/24,MAMO,Massimo Group,1279876-108557,122,"$2,323,000.00 ",--,"41,300,000",180,41,1952853,NASDAQ Capital,NASDAQ,4.5,"1,300,000",S1,4.5,3.01
6/28/24,LSH,Lakeside Holding Ltd,1291418-109623,49,"$1,404,833.00 ",--,"7,500,000",180,40,1996192,NASDAQ Capital,NASDAQ,4.5,"1,500,000",S1,4.5,4.01
7/25/24,ORKT,ORANGEKLOUD TECHNOLOGY INC.,1287038-109176,58,"$1,557,263.00 ",--,"7,779,012",180,40,1979407,NASDAQ Capital,NASDAQ,4.75,"2,750,000",F1,4.75,5.7
9/25/24,PC,Premium Catering (Holdings) Ltd,1295816-110076,47,"$1,170,223.00 ","350,000","16,000,000",180,40,1998056,NASDAQ Capital,NASDAQ,4.75,"2,000,000",F1,4.75,3.72
2/12/01,AQA,GREENCORE TECHNOLOGY INC,77701-4176,9,"$787,500.00 ",--,"7,833,250",180,25,1114655,American Stock Exchange,NYSE,5,"1,200,000",0,5,5
5/16/02,DWMA,"Global Arena Holding, Inc.",97266-26518,19,"$655,000.00 ",--,"3,500,000",180,25,1138724,NASDAQ SmallCap Market,NASDAQ,5,"1,200,000",0,5,5.32
10/29/03,CHLE,CENTENNIAL SPECIALTY FOODS CORP,424977-34930,3,"$740,000.00 ",--,"5,050,000",180,26,1227167,NASDAQ SmallCap Market,NASDAQ,5,"1,550,000",0,5,4.4
12/12/03,NAX,NATURAL GOLF CORP,215080-34900,53,"$499,143.00 ",--,"5,021,254",180,25,1039387,American Stock Exchange,NYSE,5,"2,500,000",0,5,5
10/13/04,GRU,Answers CORP,626611-39452,27,"$1,050,000.00 ",--,"4,568,051",180,26,1283073,American Stock Exchange,NYSE,5,"2,350,000",0,5,5.09
2/10/17,SACH,Sachem Capital Corp.,1007185-81987,2,"$800,000.00 ",--,"11,133,237",180,40,1682220,NYSE MKT,NYSE,5,"2,600,000",0,5,5.04
7/28/17,NEWA,"Newater Technology, Inc.",1020960-83430,95,"$800,000.00 ",--,"10,599,000",180,40,1678022,NASDAQ Capital,NASDAQ,5,"1,400,000",F1,5,8.93
11/29/17,RETO,"ReTo Eco-Solutions, Inc.",1029887-84374,223,"$800,000.00 ",--,"22,340,000",180,40,1687277,NASDAQ Capital,NASDAQ,5,"2,800,000",F1,5,10.57
4/2/19,PBTS,"X3 Holdings Co., Ltd.",1073569-88724,299,"$779,851.00 ",--,"8,655,248",180,41,1754323,NASDAQ Capital,NASDAQ,5,"1,750,000",F1,5,5.21
7/23/20,EDTK,Skillful Craftsman Education Technology Ltd,1115567-92220,44,"$1,294,939.24 ",--,"12,000,000",180,40,1782309,NASDAQ Capital,NASDAQ,5,"3,000,000",F1,5,4.75
10/28/05,MELA,"STRATA Skin Sciences, Inc.",170492-44907,29,"$2,080,000.00 ",--,"10,513,164",180,25,1051514,NASDAQ SmallCap Market,NASDAQ,5,"4,000,000",S1,5,7.71
12/14/01,NWBT,NORTHWEST BIOTHERAPEUTICS INC,89350-14547,51,"$1,300,000.00 ",--,"16,848,305",180,25,1072379,NASDAQ National Market,NASDAQ,5,"4,000,000",S1,5,5.31
11/12/15,XCOM,"XTERA COMMUNICATIONS, INC.",107924-79522,108,"$1,948,208.00 ",--,"17,110,138",180,40,1122051,NASDAQ National Market,NASDAQ,5,"5,000,000",S1,5,5
7/24/07,IMRX,IMARX THERAPEUTICS INC,174532-54445,32,"$1,645,000.00 ",--,"10,007,868",180,27,1123695,NASDAQ SmallCap Market,NASDAQ,5,"3,000,000",S1,5,4.79
10/18/18,PHAS,PhaseBio Pharmaceuticals Inc,101541-87956,18,"$2,550,000.00 ",--,"23,803,789",180,40,1169245,NASDAQ Global,NASDAQ,5,"9,200,000",S1,5,5
4/9/10,TNGN,TENGION INC,642106-62988,65,"$2,290,030.00 ",--,"12,353,536",180,25,1296391,NASDAQ National Market,NASDAQ,5,"6,000,000",S1,5,5.02
8/5/05,ADLS,"Advanced Life Sciences Holdings, Inc.",671915-44300,20,"$1,250,000.00 ",--,"17,826,801",180,25,1322734,NASDAQ National Market,NASDAQ,5,"7,000,000",S1,5,6
3/24/06,GNET,"GLOBAL TRAFFIC NETWORK, INC.",693641-47773,3,"$750,000.00 ",--,"12,300,000",180,25,1344907,NASDAQ National Market,NASDAQ,5,"3,800,000",S1,5,5.2
4/9/15,CBYL,"KalVista Pharmaceuticals, Inc.",695419-77336,14,"$3,400,000.00 ",--,"24,246,963",180,40,1348911,NASDAQ National Market,NASDAQ,5,"13,000,000",S1,5,5.56
5/1/12,SUPN,"SUPERNUS PHARMACEUTICALS, INC.",702676-66013,71,"$3,348,100.00 ",--,"23,912,319",180,41,1356576,NASDAQ National Market,NASDAQ,5,"10,000,000",S1,5,5.37
8/3/10,TSRX,Trius Therapeutics Inc,703021-62513,36,"$2,700,000.00 ",--,"23,554,592",180,41,1356857,NASDAQ National Market,NASDAQ,5,"10,000,000",S1,5,5
2/1/18,OSS,"ONE STOP SYSTEMS, INC.",738640-85611,75,"$1,000,000.00 ",--,"12,343,948",180,40,1394056,NASDAQ Capital,NASDAQ,5,"3,800,000",S1,5,4.88
10/27/15,IOTS,ADESTO TECHNOLOGIES Corp,740608-79383,84,"$2,500,000.00 ",--,"14,781,169",180,41,1395848,NASDAQ SmallCap Market,NASDAQ,5,"5,000,000",S1,5,5.9
2/10/12,SYNC,"Synacor, Inc.",753286-68658,261,"$2,665,773.00 ","1,363,625","25,583,027",180,40,1408278,NASDAQ National Market,NASDAQ,5,"6,818,170",S1,5,5.25
11/24/10,ANAC,"Anacor Pharmaceuticals, Inc.",755798-65137,60,"$2,750,000.00 ",--,"26,614,227",180,40,1411158,NASDAQ National Market,NASDAQ,5,"12,000,000",S1,5,5.09
2/11/11,ACRX,"TALPHERA, INC.",771575-65653,19,"$2,040,275.00 ",--,"19,371,750",180,40,1427925,NASDAQ National Market,NASDAQ,5,"8,000,000",S1,5,4.55
10/25/12,MEILU,METHES ENERGIES INTERNATIONAL LTD,779843-70192,29,"$180,000.00 ",--,"6,553,169",180,40,1436549,NASDAQ SmallCap Market,NASDAQ,5,"560,000",S1,5,4.86
6/24/15,RTTR,"Qualigen Therapeutics, Inc.",801983-77936,5,"$1,000,000.00 ",--,"7,788,060",180,40,1460702,NASDAQ SmallCap Market,NASDAQ,5,"4,000,000",S1,5,4.96
2/3/11,TBOW,Trunkbow International Holdings Ltd,822979-65403,208,"$550,000.00 ","13,223,162","36,472,075",180,40,1485933,NASDAQ National Market,NASDAQ,5,"4,000,000",S1,5,4.74
11/8/12,ATOS,"ATOSSA THERAPEUTICS, INC.",824892-69209,10,"$500,000.00 ",--,"12,919,367",180,40,1488039,NASDAQ SmallCap Market,NASDAQ,5,"800,000",S1,5,4.8
7/27/18,ADIL,"ADIAL PHARMACEUTICALS, INC.",850360-84680,3,"$735,000.00 ",--,"6,538,224",180,40,1513525,NASDAQ Capital,NASDAQ,5,"1,464,000",S1,5,4.05
7/23/14,MTBC,"CareCloud, Inc.",922876-74253,1095,"$3,325,989.00 ",--,"10,982,944",180,40,1582982,NASDAQ SmallCap Market,NASDAQ,5,"4,080,000",S1,5,4.28
3/29/18,GNPX,"Genprex, Inc.",923184-84248,5,"$775,000.00 ",--,"13,035,004",180,40,1595248,NASDAQ Capital,NASDAQ,5,"1,280,000",S1,5,4.7
7/31/15,AQMS,"Aqua Metals, Inc.",946653-78638,13,"$600,000.00 ",--,"13,425,384",180,40,1621832,NASDAQ SmallCap Market,NASDAQ,5,"6,600,000",S1,5,5.35
11/9/18,TBLTU,"Toughbuilt Industries, Inc",990960-87338,13,"$246,632.00 ",--,"9,420,765",180,40,1668370,NASDAQ Capital,NASDAQ,5,"2,670,000",S1,5,4.82
5/9/17,NDRAU,ENDRA Life Sciences Inc.,1008819-82140,8,"$750,000.00 ",--,"3,360,267",180,41,1681682,NASDAQ Capital,NASDAQ,5,"1,680,000",S1,5,5.2
